Label,Type,Tags,Description,Category,NTEE1,address1,address2,city_1,fname,lname,mission,phone,scope,state,title,type_1,view category,website,zip
Arlington Woods School 99,,elementary,,Education,,"5801 30th St, Indianapolis, IN 46218",13172264299,Indianapolis,elementary,,,,,,,,,https://www.sankofaschool.org/,
Marsh Building Supply,,hardware,,Business,,"5320 E 25th St, Indianapolis, IN 46218",18665491800,Indianapolis,hardware,,,,,,,,,http://marsh-supply.com/,
Eastern Star Church,,protestant,,Place of Worship,,"5750 30th St, Indianapolis, IN 46218",13175915050,Indianapolis,protestant,,,,,,,,,http://www.easternstarchurch.org/,
Beechwood Apartments,,apartments,,Business,,"2915 N Graham Ave, Indianapolis, IN 46218",14632743407,Indianapolis,,,,,,,,,,indyhousing.org,
Indiana Archives and Records Administration,,state,,Government,,"6400 E 30th St, Indianapolis, IN 46219",13175411088,Indianapolis,state,,,,,,,,,in.gov,
the academy volleyball club,,recreation,,Business,,"6635 E 30th St Suite B, Indianapolis, IN 46219",13175453880,Indianapolis,recreation,,,,,,,,,http://www.theacademyvolleyball.com/,
gordon food service store,,groceries,,Business,,"2370 Shadeland Ave, Indianapolis, IN 46226",13173580620,Indianapolis,groceries,,,,,,,,,https://gfsstore.com/?utm_source=gmb&utm_medium=yext,
The Excel Center,,adult ed,,Education,,"2525 Shadeland Ave, Indianapolis, IN 46219",13175243910,Indianapolis,adult ed,,,,,,,,,http://www.excelcenter.org/,
Sleep Inn,,hotel,,Business,,"2311 Shadeland Ave, Indianapolis, IN 46219",13173599900,Indianapolis,hotel,,,,,,,,,choicehotels.com,
"Holiday Inn Express & Suites Indianapolis - East, an IHG Hotel",,hotel,,Business,,"7035 Western Select Dr, Indianapolis, IN 46219",13173220011,Indianapolis,hotel,,,,,,,,,,
CVS Regional office,,offices,,Business,,"2800 Enterprise St, Indianapolis, IN 46219",18886074287,Indianapolis,offices,,,,,,,,,,
Shadeland Baptist Church Youth,,protestant,,Place of Worship,,,,Indianapolis,protestant,,,,,,,,,https://www.shadelandbaptist.com/,
Nana's Childcare & Preschool,,childcare,,Education,,"7535 E 35th St, Indianapolis, IN 46226",13175498681,Indianapolis,childcare,,,,,,,,,,
Indy Fresh Market,,groceries,,Business,,"6002 E 38th St, Indianapolis, IN 46226",13174929424,Indianapolis,groceries,,,,,,,,,,
Indianapolis Power & Light,,utility,,Business,,"3600 N Arlington Ave, Indianapolis, IN 46218",,Indianapolis,utility,,,,,,,,,iplpower.com,
East Side Animal Hospital,,veterinarian,,Business,,"5996 Massachusetts Ave, Indianapolis, IN 46218",13175473523,Indianapolis,veterinarian,,,,,,,,,https://www.eastsideanimalhospindy.com/,
Big Dan's Hamburgers,,restaurant,,Business,,"5925 Massachusetts Ave, Indianapolis, IN 46218",13175472254,Indianapolis,restaurant,,,,,,,,,,
audubon garden neighborhood association,,neighborhood org,,,,3510 N Lesley Ave,,,,,,,,,,,,,
"emerson avenue area civic alliance, inc.",,neighborhood org,,,,3547 N Emerson Ave,,,,,,,,,,,,,
"forest manor multi service center, inc",,neighborhood org,,,,5603 E 38th st,,,,,,,,,,,,,
Knowledge is power plus,,neighborhood org,,,,3510 N Lesley Ave,,,,,,,,,,,,,
united neighborhood association,,neighborhood org,,,,3547 N Emerson ave,,,,,,,,,,,,,
thirty eighth & shadeland community improvement association,,neighborhood org,,,,3503 N Shadeland Ave.,,,,,,,,,,,,,
arlington woods elementary school 99,,school,,Education,,5801 e 30th st,,,,,,,,,,,,,
greater morning star preparatory christian school,,school,,Education,,5502 e 36th st,,,,,,,,,,,,,
george h fisher school 93,,school,,Education,,7151 e 35th st,,,,,,,,,,,,,
word & knowledge christian academy,,school,,Education,,3045 N Arlington Ave,,,,,,,,,,,,,
the excel center shadeland,,school,,Education,,2855 N Franklin Rd,,,,,,,,,,,,,
